clip,window,n_frames,activity_index,distribution_uniformity,piling_score,feed_visit_rate,distress_index
1030_jpg.rf.24416e4f332b008d70e8a3f3c30475e3.jpg,57,1,0.0000,0.6934,0.1667,0.2500,0.5333
1031_jpg.rf.32c1210d70403ccb741fe2fe1d1eff1a.jpg,58,1,0.0000,0.6934,0.3333,0.5000,0.5667
1031_jpg.rf.35227789bdbdad62804ba97d80cc83ec.jpg,59,1,0.0000,0.1934,0.0000,1.0000,0.5000
1032_jpg.rf.874ec18c9762534deb9a89b156449f33.jpg,60,1,0.0000,0.6934,0.0833,0.0000,0.5167
1032_jpg.rf.f8d0aecce3110c9abd061bb7cb73ef0b.jpg,61,1,0.0000,0.6934,0.3333,0.3333,0.5667
1033_jpg.rf.de9cf3ee8f03fdb986d42e5c4fb3189a.jpg,62,1,0.0000,0.1776,0.0000,1.0000,0.5000
1034_jpg.rf.0b811dde1f3b840cc23b0c0defa9ddfd.jpg,63,1,0.0000,0.0000,0.0000,1.0000,0.5000
1034_jpg.rf.2d71b11fd510054aca3bd0ae4997d316.jpg,64,1,0.0000,0.6934,0.1667,0.3333,0.5333
1035_jpg.rf.6f04b29b57f87766c5975e9aa043472d.jpg,65,1,0.0000,0.1934,0.0000,1.0000,0.5000
1035_jpg.rf.7544c78971d9788c0a65c2fc9ad16646.jpg,66,1,0.0000,0.6934,0.2500,0.3333,0.5500
1036_jpg.rf.4b65945bc81aed61cc726e5fc7b698ca.jpg,67,1,0.0000,0.0000,0.0000,1.0000,0.5000
1037_jpg.rf.aed8af1b5aebe82c52847a6f5f14ad7f.jpg,68,1,0.0000,0.6934,0.2500,0.1667,0.5500
1038_jpg.rf.bc3c5e857d948bdaa09c05fe1274ea2a.jpg,69,1,0.0000,0.6290,0.0833,0.0000,0.5167
1039_jpg.rf.c2d6bc4f4937a2149a9e602028219cf0.jpg,70,1,0.0000,0.6934,0.2500,0.2500,0.5500
1039_jpg.rf.e31766ffb0e05d8cc303ff5d30bb499c.jpg,71,1,0.0000,0.2901,0.0000,1.0000,0.5000
103_jpg.rf.d31ad5553e8bd07d51a34f6957b121d4.jpg,72,1,0.0000,0.5845,0.0833,0.0000,0.5167
1040_jpg.rf.3e9aee35a279507eb185e1bdeeda38be.jpg,73,1,0.0000,0.4491,0.0000,1.0000,0.5000
1040_jpg.rf.a563dfdfffee1d642b85797a05e9d13f.jpg,74,1,0.0000,0.6934,0.4167,0.1667,0.5833
1041_jpg.rf.18d5939b8710d902b966afd702d1bcec.jpg,75,1,0.0000,0.0000,0.0000,1.0000,0.5000
1041_jpg.rf.585ffc7716ba58c3969e2d4fe7fe3aa6.jpg,76,1,0.0000,0.6934,0.4167,0.2500,0.5833
1043_jpg.rf.7c2b1c31013d250e3ac07b15c1770b27.jpg,77,1,0.0000,0.6934,0.3333,0.1667,0.5667
1043_jpg.rf.c1e7c1f86783b88a31e92e7c2df3b379.jpg,78,1,0.0000,0.1934,0.0000,1.0000,0.5000
1044_jpg.rf.7abac05f64c521fc8e1101ed68cee616.jpg,79,1,0.0000,0.6290,0.2500,0.3333,0.5500
1045_jpg.rf.1a3d8c78dccb5969d7f6cb5daf443c3e.jpg,80,1,0.0000,0.6934,0.4167,0.1667,0.5833
1045_jpg.rf.a1b4efde2d7042288a97088fbd4db21c.jpg,81,1,0.0000,0.1934,0.0000,1.0000,0.5000
1046_jpg.rf.8c08fd9c38e0def579dd67984435321e.jpg,82,1,0.0000,0.1776,0.0000,1.0000,0.5000
1046_jpg.rf.c4551e6134e125c9b024833bb27fbbbb.jpg,83,1,0.0000,0.6934,0.5833,0.1667,0.6167
1047_jpg.rf.4ec43fa8c1569ce1bad970f335fe1e4d.jpg,84,1,0.0000,0.5319,0.3750,1.0000,0.5750
1047_jpg.rf.743de1d1e91abaf9647212e8c74fb756.jpg,85,1,0.0000,0.6934,0.5833,0.2500,0.6167
1048_jpg.rf.688631ab18db37de36f638487a591788.jpg,86,1,0.0000,0.0000,0.0000,1.0000,0.5000
1048_jpg.rf.c3a4ade5a411131f6c1bb6b916d1e333.jpg,87,1,0.0000,0.6934,0.6667,0.1667,0.6333
1049_jpg.rf.b82e7e72df35c3de5226ecabe87d4a0c.jpg,88,1,0.0000,0.3869,0.0000,1.0000,0.5000
1049_jpg.rf.e803a5d374aad58fa161993f5142ba79.jpg,89,1,0.0000,0.6934,0.0833,0.1667,0.5167
104_jpg.rf.b15887c5f978a8e30edee1c9301f4388.jpg,90,1,0.0000,0.6612,0.0833,0.1667,0.5167
1050_jpg.rf.8582b31a756ec1522f551a5738d927b3.jpg,91,1,0.0000,0.6612,0.2500,0.0000,0.5500
1050_jpg.rf.f0ae86d830bc536cda1bc95a2c1dc2a2.jpg,92,1,0.0000,0.6934,0.3333,0.2500,0.5667
1051_jpg.rf.009691f9ccb9dd53577ea64bcc6d6106.jpg,93,1,0.0000,0.1934,0.0000,1.0000,0.5000
1051_jpg.rf.71f85813df831120601d2cd6a0672dd0.jpg,94,1,0.0000,0.6612,0.3333,0.0833,0.5667
1052_jpg.rf.5d0ef8699eff65d5a68f51f59fdc83a1.jpg,95,1,0.0000,0.6934,0.3333,0.1667,0.5667
1052_jpg.rf.8dd5569ad1129294d9b89a7f0b33afa9.jpg,96,1,0.0000,0.0000,0.0000,1.0000,0.5000
1053_jpg.rf.b1588b48d832049a0b45d1fda91205a9.jpg,97,1,0.0000,0.6934,0.4167,0.2500,0.5833
1053_jpg.rf.d823e7797770ec20d605bd87c607b6ed.jpg,98,1,0.0000,0.0000,0.0000,1.0000,0.5000
1054_jpg.rf.222dfe411da9e2d6d4f61c8e5d65280d.jpg,99,1,0.0000,0.0000,0.0000,1.0000,0.5000
1054_jpg.rf.b53d32dd950a2005364b4526990a3b05.jpg,100,1,0.0000,0.6934,0.3333,0.0833,0.5667
1055_jpg.rf.5a564442e3f4c6a935814c27ea2c873e.jpg,101,1,0.0000,0.0000,0.0000,1.0000,0.5000
1056_jpg.rf.130a49db56ab9db041a25621bd0c1a7f.jpg,102,1,0.0000,0.6290,0.2500,0.0000,0.5500
1057_jpg.rf.0db588c7736f8dba92ba869af4b6ada5.jpg,103,1,0.0000,0.6612,0.5000,0.1667,0.6000
1058_jpg.rf.db8bcd083e6cdde71173c3d1d7642cc3.jpg,104,1,0.0000,0.0000,0.0000,1.0000,0.5000
1058_jpg.rf.f2f6c38bedf5f308b606ea67ef49d21f.jpg,105,1,0.0000,0.6934,0.5833,0.4167,0.6167
1059_jpg.rf.28232d54253ea56514590533e09f515e.jpg,106,1,0.0000,0.6934,0.4167,0.2500,0.5833
1060_jpg.rf.6fa928797156dfea10e5ec59c19db592.jpg,107,1,0.0000,0.6934,0.0833,0.3333,0.5167
1060_jpg.rf.a8f08f0f06eeb6d3c88446438de3336f.jpg,108,1,0.0000,0.0000,0.0000,1.0000,0.5000
1062_jpg.rf.47938c3983a594755494a82e501b5fce.jpg,109,1,0.0000,0.1776,0.0000,1.0000,0.5000
1062_jpg.rf.9804e20c33cb0e1c67ee9b725f0e8a0f.jpg,110,1,0.0000,0.6612,0.5833,0.2500,0.6167
1063_jpg.rf.4a3028bcfee6daf558a1a2cc1f5b4211.jpg,111,1,0.0000,0.6934,0.3333,0.3333,0.5667
1063_jpg.rf.5d5b62e0583e5997e15cc3170e85f5e1.jpg,112,1,0.0000,0.3066,0.0000,1.0000,0.5000
1065_jpg.rf.1fd26102c5ab0b3cbae08517bd8c660f.jpg,113,1,0.0000,0.1934,0.0000,1.0000,0.5000
1065_jpg.rf.d7ced6997420b752286159f5673812e3.jpg,114,1,0.0000,0.6934,0.7500,0.3333,0.6500
1066_jpg.rf.334174e93b3c2a53ddfce7ce84144331.jpg,115,1,0.0000,0.6612,0.2500,0.3333,0.5500
1067_jpg.rf.58baf99a9882a8ddf51079c37c96cccd.jpg,116,1,0.0000,0.0000,0.0000,1.0000,0.5000
1067_jpg.rf.7e52f8e1ff4d0b789b1e250e67bf8b76.jpg,117,1,0.0000,0.6934,0.4167,0.2500,0.5833
1069_jpg.rf.7c43f87f485944b821fb54db2b5df2a9.jpg,118,1,0.0000,0.6934,0.3333,0.4167,0.5667
1069_jpg.rf.e7ee2f1f260a817465ab0be790395db9.jpg,119,1,0.0000,0.6612,0.0000,0.0000,0.5000
106_jpg.rf.3ba48a7dd11fce95b08521de39f8ef32.jpg,120,1,0.0000,0.6612,0.0000,0.0000,0.5000
1070_jpg.rf.55cc5b191ef7c33b49d283352e4fb1d1.jpg,121,1,0.0000,0.1934,0.0000,1.0000,0.5000
1070_jpg.rf.7e0016787fa15c6dee6ed9569096a04a.jpg,122,1,0.0000,0.6934,0.5833,0.5000,0.6167
1071_jpg.rf.8df7c82b13acde8d77d5d7a99e256f0d.jpg,123,1,0.0000,0.6612,0.5000,0.4167,0.6000
1072_jpg.rf.860faf3b5da0b6e2ced86a833b9d5435.jpg,124,1,0.0000,0.3869,0.0000,1.0000,0.5000
1073_jpg.rf.824128335d55342ea72b5069ee48e845.jpg,125,1,0.0000,0.3066,0.0000,1.0000,0.5000
1074_jpg.rf.8c35b342cc6e9f0b2af9b7865a15efee.jpg,126,1,0.0000,0.1934,0.0000,1.0000,0.5000
1075_jpg.rf.660d7f4c6ff4210930499ff2c1b98f21.jpg,127,1,0.0000,0.5430,0.1429,1.0000,0.5286
1077_jpg.rf.df143b82d64519c921a1e604b5af94bd.jpg,128,1,0.0000,0.3066,0.0000,1.0000,0.5000
107_jpg.rf.c53e3dace4f3320cfde70cc693375173.jpg,129,1,0.0000,0.6290,0.0000,0.1667,0.5000
1080_jpg.rf.3077505f161abb9d26526efada635761.jpg,130,1,0.0000,0.0000,0.0000,1.0000,0.5000
1081_jpg.rf.f3bb28b9dfe90643287ad7750ba16d51.jpg,131,1,0.0000,0.3066,0.0000,1.0000,0.5000
1083_jpg.rf.381dae702766e6e6fe1726f77ecc5c18.jpg,132,1,0.0000,0.0000,0.0000,1.0000,0.5000
1084_jpg.rf.f76ad964f9abc672d655da41b3fecefd.jpg,133,1,0.0000,0.3066,0.0000,1.0000,0.5000
1085_jpg.rf.3b2bccd786b79484856f188ab8ba5b5f.jpg,134,1,0.0000,0.6290,0.0833,0.0000,0.5167
1086_jpg.rf.d2ef983c2dde29d8de903aa6f6573f6b.jpg,135,1,0.0000,0.2901,0.0000,1.0000,0.5000
1087_jpg.rf.6d96ead05a94b2b307df3b9487036cbd.jpg,136,1,0.0000,0.1934,0.0000,1.0000,0.5000
1088_jpg.rf.761cf50db2cd13eba652201eda733dcb.jpg,137,1,0.0000,0.3869,0.0000,1.0000,0.5000
1089_jpg.rf.c4c4a69e47077e27863e52686089f71e.jpg,138,1,0.0000,0.3066,0.0000,1.0000,0.5000
108_jpg.rf.0efecf23a71f5c53eebcc849928910c9.jpg,139,1,0.0000,0.6612,0.0000,0.0833,0.5000
1090_jpg.rf.1a68252eabcbbea8cee971bae9c569a3.jpg,140,1,0.0000,0.3869,0.0000,1.0000,0.5000
1092_jpg.rf.fc2fc402aed6758df235f4d59747db3b.jpg,141,1,0.0000,0.2901,0.0000,1.0000,0.5000
1093_jpg.rf.3b55ecbc21e55369cce20e5161fa47f4.jpg,142,1,0.0000,0.0000,0.0000,1.0000,0.5000
1094_jpg.rf.ee075b2f16fea4f38e13da72c40d1eee.jpg,143,1,0.0000,0.1934,0.0000,1.0000,0.5000
1095_jpg.rf.de6517d1cd386055ff1b94d7fd091842.jpg,144,1,0.0000,0.1934,0.0000,1.0000,0.5000
1096_jpg.rf.2b32e07b5e98a7e718022d2ce99c0379.jpg,145,1,0.0000,0.3066,0.0000,1.0000,0.5000
1098_jpg.rf.a7234939aa971468f086a9c00e3f59e8.jpg,146,1,0.0000,0.1934,0.0000,1.0000,0.5000
1099_jpg.rf.11eefbc5c32c3bdcfdb0512e4c213f1f.jpg,147,1,0.0000,0.0000,0.0000,1.0000,0.5000
109_jpg.rf.e6cb3e2d3d859d1214b86015ac1a18b9.jpg,148,1,0.0000,0.5988,0.0000,0.3636,0.5000
10_jpg.rf.7c5f5a9ff4ff437b6613dd4fd63554c9.jpg,149,1,0.0000,0.6290,0.5833,0.0000,0.6167
1100_jpg.rf.ceb8cc5e6c6df3af121461fb5832e974.jpg,150,1,0.0000,0.3066,0.0000,1.0000,0.5000
